property_id,property_url,purpose,type,added_on,furnishing,price,location,bed_bath_size,permit_number,agent_name,primary_image_url,breadcrumbs,amenities,description
Bayut - AQ-R-25-00531,https://www.bayut.com/property/details-11734244.html,For Rent,Apartment,23-May-25,Furnished,"{'currency': 'AED', 'amount': '135,000'}",Jumeirah,"{'bedrooms': '1', 'bathrooms': '1', 'size': '800 sqft'}",,Jorge Alberto Ospina Serrano,https://images.bayut.com/thumbnails/776022163-800x600.jpeg,,,
Bayut - DHE-NH-MPLE1-3BR-5,https://www.bayut.com/property/details-11167388.html,For Rent,Townhouse,20-Mar-25,,"{'currency': 'AED', 'amount': '240,000'}",,"{'bedrooms': '3', 'bathrooms': '3', 'size': '2,109 sqft'}",,Naveed Hussain,,,,
Bayut - 106405-8OlyUs,https://www.bayut.com/property/details-11884159.html,For Rent,Apartment,10-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '95,000'}",Dubai Creek Harbour,"{'bedrooms': '1', 'bathrooms': '1', 'size': '697 sqft'}",,Waqas Arshad,https://images.bayut.com/thumbnails/778906436-800x600.jpeg,,,
Bayut - NOVVI-6054,https://www.bayut.com/property/details-11574412.html,For Rent,Apartment,07-May-25,Furnished,"{'currency': 'AED', 'amount': '220,000'}",Jumeirah Beach Residence (JBR),"{'bedrooms': '1', 'bathrooms': '2', 'size': '915 sqft'}",,Lauyic Marcial,https://images.bayut.com/thumbnails/772967526-800x600.jpeg,,,
Bayut - huspy-13965802,https://www.bayut.com/property/details-11838428.html,For Rent,Apartment,03-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '149,999'}",Al Wasl,"{'bedrooms': '1', 'bathrooms': '2', 'size': '950 sqft'}",,Kacey Welch,https://images.bayut.com/thumbnails/777949780-800x600.jpeg,,,
Bayut - DIALLO -000917,https://www.bayut.com/property/details-11887706.html,For Rent,Apartment,11-Jun-25,Furnished,"{'currency': 'AED', 'amount': '47,000'}",Jumeirah Village Triangle (JVT),"{'bedrooms': '1', 'bathrooms': '2', 'size': '370 sqft'}",,Mohammad Onaib Shahid Ahmed,https://images.bayut.com/thumbnails/778741077-800x600.jpeg,,,
Bayut - NOVVI-5366,https://www.bayut.com/property/details-11342228.html,For Rent,Townhouse,14-Apr-25,Unfurnished,"{'currency': 'AED', 'amount': '175,000'}",Jumeirah Village Circle (JVC),"{'bedrooms': '1', 'bathrooms': '2', 'size': '3,071 sqft'}",,Matthew Coburn,https://images.bayut.com/thumbnails/781572691-400x300.jpeg,,,
Bayut - B-AR-136322,https://www.bayut.com/property/details-11776106.html,For Rent,Apartment,28-May-25,Furnished,"{'currency': 'AED', 'amount': '135,000'}",Dubai Marina,"{'bedrooms': '1', 'bathrooms': '2', 'size': '1,125 sqft'}",,Aurelia Prigoda,https://images.bayut.com/thumbnails/779151372-800x600.jpeg,,,
Bayut - AIM-Shaam-JNS,https://www.bayut.com/property/details-11900414.html,For Rent,Villa,12-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '125,000'}",Jumeirah Village Circle (JVC),"{'bedrooms': '1', 'bathrooms': '2', 'size': '1,634 sqft'}",,Ihtisham Tariq,https://images.bayut.com/thumbnails/766433102-400x300.jpeg,,,
Bayut - DB-R-54366,https://www.bayut.com/property/details-11775119.html,For Rent,Apartment,27-May-25,Unfurnished,"{'currency': 'AED', 'amount': '250,000'}",Dubai Creek Harbour,"{'bedrooms': '3', 'bathrooms': '4', 'size': '1,601 sqft'}",,Thomas Enright,https://images.bayut.com/thumbnails/776683364-800x600.jpeg,,,
Bayut - 101578-qGWsty,https://www.bayut.com/property/details-11694314.html,For Rent,Apartment,19-May-25,Unfurnished,"{'currency': 'AED', 'amount': '75,000'}",Arjan,"{'bedrooms': '1', 'bathrooms': '2', 'size': '707 sqft'}",,Kalkidan Daniel Wolde,https://images.bayut.com/thumbnails/775337079-800x600.jpeg,,,
